dummy,dummy,crop,pastr
y1995,CAZ,642.6092820431943,0
y1995,CHA,1009.4104310831665,0
y1995,EUR,1776.3535974411789,0
y1995,IND,528.9833353883964,0
y1995,JPN,1243.741611878151,0
y1995,LAM,695.9456763846721,0
y1995,MEA,232.87479352643786,0
y1995,NEU,545.5979095835586,0
y1995,OAS,440.8891368894348,0
y1995,REF,553.1487154819096,0
y1995,SSA,278.5258309798897,0
y1995,USA,1184.9411894583181,0
y2000,CAZ,677.8014808185417,0
y2000,CHA,1088.455167952165,0
y2000,EUR,1947.2714603678814,0
y2000,IND,618.2234353635889,0
y2000,JPN,1368.1184401835692,0
y2000,LAM,992.8470245684748,0
y2000,MEA,291.5173761218023,0
y2000,NEU,594.4797500862568,0
y2000,OAS,480.0651099218312,0
y2000,REF,603.2355092042812,0
y2000,SSA,327.406506578991,0
y2000,USA,1239.8951003525349,0
y2005,CAZ,715.3605327951258,0
y2005,CHA,1146.0696247824087,0
y2005,EUR,1871.6786382135424,0
y2005,IND,754.1710902646739,0
y2005,JPN,1270.10320010707,0
y2005,LAM,1156.2570405990723,0
y2005,MEA,408.57346824304454,0
y2005,NEU,592.9437788247163,0
y2005,OAS,587.2973540097303,0
y2005,REF,969.8769770709387,0
y2005,SSA,402.38814248278686,0
y2005,USA,1401.0121322172847,0
y2010,CAZ,745.497143532107,0
y2010,CHA,1237.4477031102479,0
y2010,EUR,1971.9423711520299,0
y2010,IND,919.3533302343144,0
y2010,JPN,1304.8187236932686,0
y2010,LAM,1482.5990833067317,0
y2010,MEA,500.29291055270426,0
y2010,NEU,616.235676122944,0
y2010,OAS,668.9397457098073,0
y2010,REF,1057.2569075400613,0
y2010,SSA,473.71048994263356,0
y2010,USA,1461.9729727780625,0
y2015,CAZ,564.5168511286543,0
y2015,CHA,943.6223967840737,0
y2015,EUR,1466.1892916370175,0
y2015,IND,734.6302825846384,0
y2015,JPN,967.3332066573435,0
y2015,LAM,1210.5971277757649,0
y2015,MEA,405.4281812307828,0
y2015,NEU,458.3776798443797,0
y2015,OAS,523.833339480739,0
y2015,REF,823.1491114362083,0
y2015,SSA,375.1753320642731,0
y2015,USA,1116.51756192626,0
y2020,CAZ,378.37918713185866,0
y2020,CHA,644.978775565234,0
y2020,EUR,941.649003701875,0
y2020,IND,515.2105589031405,0
y2020,JPN,644.5920554249733,0
y2020,LAM,857.9196926442844,0
y2020,MEA,288.4259975989687,0
y2020,NEU,295.76750331626965,0
y2020,OAS,363.9982368853432,0
y2020,REF,595.0342239382921,0
y2020,SSA,264.4392004248517,0
y2020,USA,748.7437503434753,0
y2025,CAZ,224.14707256288085,0
y2025,CHA,391.5856105282908,0
y2025,EUR,557.4149872938169,0
y2025,IND,330.7191638196066,0
y2025,JPN,374.4265969601925,0
y2025,LAM,541.8765640664722,0
y2025,MEA,185.2275877465608,0
y2025,NEU,174.81039482603057,0
y2025,OAS,230.8127122446105,0
y2025,REF,397.2331938986225,0
y2025,SSA,170.9154014205172,0
y2025,USA,446.12770844056956,0
y2030,CAZ,115.40696726583647,0
y2030,CHA,205.26146428389956,0
y2030,EUR,287.96998286214534,0
y2030,IND,177.78233939460793,0
y2030,JPN,183.60503431958688,0
y2030,LAM,284.97130059825065,0
y2030,MEA,98.16382029420231,0
y2030,NEU,89.66110752554823,0
y2030,OAS,122.59253495990845,0
y2030,REF,199.43216385895286,0
y2030,SSA,89.17062978705897,0
y2030,USA,232.4978310996364,0
y2035,CAZ,39.013990767734086,0
y2035,CHA,72.88198695435254,0
y2035,EUR,111.78232534791849,0
y2035,IND,62.993327420136396,0
y2035,JPN,71.91011497360527,0
y2035,LAM,109.70582696990276,0
y2035,MEA,31.92153072262226,0
y2035,NEU,32.809894780949215,0
y2035,OAS,40.163423894493484,0
y2035,REF,48.423997912969725,0
y2035,SSA,30.326343250691988,0
y2035,USA,73.05860642420849,0
y2040,CAZ,0,0
y2040,CHA,0,0
y2040,EUR,0,0
y2040,IND,0,0
y2040,JPN,0,0
y2040,LAM,0,0
y2040,MEA,0,0
y2040,NEU,0,0
y2040,OAS,0,0
y2040,REF,0,0
y2040,SSA,0,0
y2040,USA,0,0
y2045,CAZ,0,0
y2045,CHA,0,0
y2045,EUR,0,0
y2045,IND,0,0
y2045,JPN,0,0
y2045,LAM,0,0
y2045,MEA,0,0
y2045,NEU,0,0
y2045,OAS,0,0
y2045,REF,0,0
y2045,SSA,0,0
y2045,USA,0,0
y2050,CAZ,0,0
y2050,CHA,0,0
y2050,EUR,0,0
y2050,IND,0,0
y2050,JPN,0,0
y2050,LAM,0,0
y2050,MEA,0,0
y2050,NEU,0,0
y2050,OAS,0,0
y2050,REF,0,0
y2050,SSA,0,0
y2050,USA,0,0
y2055,CAZ,0,0
y2055,CHA,0,0
y2055,EUR,0,0
y2055,IND,0,0
y2055,JPN,0,0
y2055,LAM,0,0
y2055,MEA,0,0
y2055,NEU,0,0
y2055,OAS,0,0
y2055,REF,0,0
y2055,SSA,0,0
y2055,USA,0,0
y2060,CAZ,0,0
y2060,CHA,0,0
y2060,EUR,0,0
y2060,IND,0,0
y2060,JPN,0,0
y2060,LAM,0,0
y2060,MEA,0,0
y2060,NEU,0,0
y2060,OAS,0,0
y2060,REF,0,0
y2060,SSA,0,0
y2060,USA,0,0
y2065,CAZ,0,0
y2065,CHA,0,0
y2065,EUR,0,0
y2065,IND,0,0
y2065,JPN,0,0
y2065,LAM,0,0
y2065,MEA,0,0
y2065,NEU,0,0
y2065,OAS,0,0
y2065,REF,0,0
y2065,SSA,0,0
y2065,USA,0,0
y2070,CAZ,0,0
y2070,CHA,0,0
y2070,EUR,0,0
y2070,IND,0,0
y2070,JPN,0,0
y2070,LAM,0,0
y2070,MEA,0,0
y2070,NEU,0,0
y2070,OAS,0,0
y2070,REF,0,0
y2070,SSA,0,0
y2070,USA,0,0
y2075,CAZ,0,0
y2075,CHA,0,0
y2075,EUR,0,0
y2075,IND,0,0
y2075,JPN,0,0
y2075,LAM,0,0
y2075,MEA,0,0
y2075,NEU,0,0
y2075,OAS,0,0
y2075,REF,0,0
y2075,SSA,0,0
y2075,USA,0,0
y2080,CAZ,0,0
y2080,CHA,0,0
y2080,EUR,0,0
y2080,IND,0,0
y2080,JPN,0,0
y2080,LAM,0,0
y2080,MEA,0,0
y2080,NEU,0,0
y2080,OAS,0,0
y2080,REF,0,0
y2080,SSA,0,0
y2080,USA,0,0
y2085,CAZ,0,0
y2085,CHA,0,0
y2085,EUR,0,0
y2085,IND,0,0
y2085,JPN,0,0
y2085,LAM,0,0
y2085,MEA,0,0
y2085,NEU,0,0
y2085,OAS,0,0
y2085,REF,0,0
