dummy,dummy,crop,pastr
y1995,CAZ,1858.9603519401953,0
y1995,CHA,2915.2635851555324,0
y1995,EUR,5041.515040295841,0
y1995,IND,1512.045016812573,0
y1995,JPN,3549.4327747567377,0
y1995,LAM,1952.292248672618,0
y1995,MEA,685.2557902289348,0
y1995,NEU,1553.1475094372768,0
y1995,OAS,1278.8357728987746,0
y1995,REF,1602.365006896101,0
y1995,SSA,792.5754361105244,0
y1995,USA,3416.7280991635453,0
y2000,CAZ,1952.3455216064683,0
y2000,CHA,3160.1869230417433,0
y2000,EUR,5637.765594548795,0
y2000,IND,1813.3439660076592,0
y2000,JPN,3965.311751660952,0
y2000,LAM,2915.2639965873395,0
y2000,MEA,849.6831092915003,0
y2000,NEU,1723.9993503319886,0
y2000,OAS,1392.6095638928846,0
y2000,REF,1908.51398231358,0
y2000,SSA,970.9551021476876,0
y2000,USA,3549.4574502727255,0
y2005,CAZ,2048.368809712255,0
y2005,CHA,3287.022855989965,0
y2005,EUR,5377.311610431985,0
y2005,IND,2147.0359214489004,0
y2005,JPN,3616.8670426748645,0
y2005,LAM,3287.031672838699,0
y2005,MEA,1170.7292576715581,0
y2005,NEU,1680.302402959398,0
y2005,OAS,1680.3015881303593,0
y2005,REF,2608.03378384437,0
y2005,SSA,1135.8750288976464,0
y2005,USA,4037.230809374624,0
y2010,CAZ,2147.015039304552,0
y2010,CHA,3549.437669272738,0
y2010,EUR,5637.41613661866,0
y2010,IND,2625.1442411881294,0
y2010,JPN,3753.992173210681,0
y2010,LAM,4257.534193642081,0
y2010,MEA,1431.7656323210185,0
y2010,NEU,1768.3462189905028,0
y2010,OAS,1905.3436449699423,0
y2010,REF,3081.337803564533,0
y2010,SSA,1354.0520992972135,0
y2010,USA,4183.3189425235305,0
y2015,CAZ,1832.6186319753515,0
y2015,CHA,3032.1424275351765,0
y2015,EUR,4942.92451046789,0
y2015,IND,2480.501262895468,0
y2015,JPN,3007.7959657294205,0
y2015,LAM,3907.688911029982,0
y2015,MEA,1381.6036648073762,0
y2015,NEU,1560.6535285777563,0
y2015,OAS,1782.6924260183866,0
y2015,REF,2907.833074569655,0
y2015,SSA,1252.8430054225373,0
y2015,USA,3645.6629447397077,0
y2020,CAZ,1403.912833329703,0
y2020,CHA,2300.564933359192,0
y2020,EUR,3992.9654460295105,0
y2020,IND,2029.0432273457902,0
y2020,JPN,2197.112424999469,0
y2020,LAM,3326.227401873608,0
y2020,MEA,1117.3867012861415,0
y2020,NEU,1255.596924333197,0
y2020,OAS,1390.6424128204571,0
y2020,REF,2134.5052619242147,0
y2020,SSA,963.1681497909362,0
y2020,USA,2796.2364810824815,0
y2025,CAZ,883.1013429109395,0
y2025,CHA,1456.4649282430478,0
y2025,EUR,2469.5686356711058,0
y2025,IND,1277.487264271242,0
y2025,JPN,1373.7361613905623,0
y2025,LAM,2162.333779001343,0
y2025,MEA,696.8706443751134,0
y2025,NEU,776.7385534578573,0
y2025,OAS,854.6577859846682,0
y2025,REF,1241.6810339154958,0
y2025,SSA,582.8355605145609,0
y2025,USA,1728.1652758669102,0
y2030,CAZ,437.5210110552743,0
y2030,CHA,734.5753703768542,0
y2030,EUR,1316.893858389341,0
y2030,IND,675.2439883066768,0
y2030,JPN,716.3953748265021,0
y2030,LAM,1155.1288091452243,0
y2030,MEA,358.936205517529,0
y2030,NEU,411.49641461094325,0
y2030,OAS,438.78246941010883,0
y2030,REF,648.7255119048154,0
y2030,SSA,312.5009154893318,0
y2030,USA,835.4356051190982,0
y2035,CAZ,191.61358864518786,0
y2035,CHA,306.0286197747501,0
y2035,EUR,585.8384368978527,0
y2035,IND,299.038488731098,0
y2035,JPN,257.1797454177382,0
y2035,LAM,488.87231816046574,0
y2035,MEA,163.58600128758206,0
y2035,NEU,184.15637440541158,0
y2035,OAS,197.80538042448438,0
y2035,REF,256.46818381331053,0
y2035,SSA,126.00474258905484,0
y2035,USA,389.6722390512449,0
y2040,CAZ,73.95028433080212,0
y2040,CHA,122.64865894403414,0
y2040,EUR,244.68050587322662,0
y2040,IND,108.66441420858044,0
y2040,JPN,132.57183845818156,0
y2040,LAM,228.2005425208275,0
y2040,MEA,51.9396491153749,0
y2040,NEU,74.507876094526,0
y2040,OAS,59.21001365835587,0
y2040,REF,50.02463124725172,0
y2040,SSA,40.62432231659069,0
y2040,USA,125.38643147840087,0
y2045,CAZ,0,0
y2045,CHA,0,0
y2045,EUR,0,0
y2045,IND,0,0
y2045,JPN,0,0
y2045,LAM,0,0
y2045,MEA,0,0
y2045,NEU,0,0
y2045,OAS,0,0
y2045,REF,0,0
y2045,SSA,0,0
y2045,USA,0,0
y2050,CAZ,0,0
y2050,CHA,0,0
y2050,EUR,0,0
y2050,IND,0,0
y2050,JPN,0,0
y2050,LAM,0,0
y2050,MEA,0,0
y2050,NEU,0,0
y2050,OAS,0,0
y2050,REF,0,0
y2050,SSA,0,0
y2050,USA,0,0
y2055,CAZ,0,0
y2055,CHA,0,0
y2055,EUR,0,0
y2055,IND,0,0
y2055,JPN,0,0
y2055,LAM,0,0
y2055,MEA,0,0
y2055,NEU,0,0
y2055,OAS,0,0
y2055,REF,0,0
y2055,SSA,0,0
y2055,USA,0,0
y2060,CAZ,0,0
y2060,CHA,0,0
y2060,EUR,0,0
y2060,IND,0,0
y2060,JPN,0,0
y2060,LAM,0,0
y2060,MEA,0,0
y2060,NEU,0,0
y2060,OAS,0,0
y2060,REF,0,0
y2060,SSA,0,0
y2060,USA,0,0
y2065,CAZ,0,0
y2065,CHA,0,0
y2065,EUR,0,0
y2065,IND,0,0
y2065,JPN,0,0
y2065,LAM,0,0
y2065,MEA,0,0
y2065,NEU,0,0
y2065,OAS,0,0
y2065,REF,0,0
y2065,SSA,0,0
y2065,USA,0,0
y2070,CAZ,0,0
y2070,CHA,0,0
y2070,EUR,0,0
y2070,IND,0,0
y2070,JPN,0,0
y2070,LAM,0,0
y2070,MEA,0,0
y2070,NEU,0,0
y2070,OAS,0,0
y2070,REF,0,0
y2070,SSA,0,0
y2070,USA,0,0
y2075,CAZ,0,0
y2075,CHA,0,0
y2075,EUR,0,0
y2075,IND,0,0
y2075,JPN,0,0
y2075,LAM,0,0
y2075,MEA,0,0
y2075,NEU,0,0
y2075,OAS,0,0
y2075,REF,0,0
y2075,SSA,0,0
y2075,USA,0,0
y2080,CAZ,0,0
y2080,CHA,0,0
y2080,EUR,0,0
y2080,IND,0,0
y2080,JPN,0,0
y2080,LAM,0,0
y2080,MEA,0,0
y2080,NEU,0,0
y2080,OAS,0,0
y2080,REF,0,0
y2080,SSA,0,0
y2080,USA,0,0
y2085,CAZ,0,0
y2085,CHA,0,0
y2085,EUR,0,0
y2085,IND,0,0
y2085,JPN,0,0
y2085,LAM,0,0
y2085,MEA,0,0
y2085,NEU,0,0
y2085,OAS,0,0
y2085,REF,0,0
y2085,SSA,0,0
y2085,USA,0,0
y2090,CAZ,0,0
y2090,CHA,0,0
y2090,EUR,0,0
y2090,IND,0,0
y2090,JPN,0,0
y2090,LAM,0,0
y2090,MEA,0,0
y2090,NEU,0,0
y2090,OAS,0,0
y2090,REF,0,0
y2090,SSA,0,0
y2090,USA,0,0
y2095,CAZ,0,0
y2095,CHA,0,0
y2095,EUR,0,0
