dummy,dummy,crop,pastr
y1995,CAZ,186053.98472173404,0
y1995,CHA,416626.72678206034,0
y1995,EUR,842543.9228119344,0
y1995,IND,235686.15048587407,0
y1995,JPN,20896.190960649183,0
y1995,LAM,302538.9861480418,0
y1995,MEA,38614.92937918939,0
y1995,NEU,50547.44264124198,0
y1995,OAS,160899.8340156088,0
y1995,REF,332991.1388895385,0
y1995,SSA,110164.30603191488,0
y1995,USA,712526.1036850703,0
y2000,CAZ,169008.5385308456,0
y2000,CHA,365074.14837768377,0
y2000,EUR,843218.7907323245,0
y2000,IND,222122.66017524083,0
y2000,JPN,17597.530232393714,0
y2000,LAM,320041.34424993827,0
y2000,MEA,38546.590839928394,0
y2000,NEU,50329.631546818186,0
y2000,OAS,146240.45043311943,0
y2000,REF,223849.27605726567,0
y2000,SSA,88077.26091731265,0
y2000,USA,690147.6811902203,0
y2005,CAZ,142979.4965067511,0
y2005,CHA,297621.23878769425,0
y2005,EUR,651442.7504397096,0
y2005,IND,173288.3633238249,0
y2005,JPN,13100.639542707402,0
y2005,LAM,288777.56401569105,0
y2005,MEA,33682.187965632664,0
y2005,NEU,39131.431871953435,0
y2005,OAS,113344.66567096836,0
y2005,REF,127902.83915489772,0
y2005,SSA,55863.68667502066,0
y2005,USA,609066.7843483659,0
y2010,CAZ,93621.93502049336,0
y2010,CHA,190934.56775234654,0
y2010,EUR,389355.04314607236,0
y2010,IND,106908.5661698349,0
y2010,JPN,7709.861757021559,0
y2010,LAM,189162.37901251583,0
y2010,MEA,21974.06154486452,0
y2010,NEU,23524.386276578378,0
y2010,OAS,69931.05057990018,0
y2010,REF,57736.80490715522,0
y2010,SSA,28733.079260078677,0
y2010,USA,409641.2084937336,0
y2015,CAZ,50122.13239421057,0
y2015,CHA,101649.14719867677,0
y2015,EUR,203358.56743397203,0
y2015,IND,54325.95608360127,0
y2015,JPN,4203.142415468072,0
y2015,LAM,103846.2421898644,0
y2015,MEA,11583.803477238589,0
y2015,NEU,12307.289652786305,0
y2015,OAS,35691.530383927355,0
y2015,REF,20108.994543177083,0
y2015,SSA,13086.678497509822,0
y2015,USA,216228.05575783647,0
y2020,CAZ,20889.137289914528,0
y2020,CHA,38839.14837949132,0
y2020,EUR,86495.00890634679,0
y2020,IND,23334.035875876758,0
y2020,JPN,1447.7553097196,0
y2020,LAM,47894.37792226045,0
y2020,MEA,5432.332125813106,0
y2020,NEU,5225.348505188194,0
y2020,OAS,14734.666063769895,0
y2020,REF,6421.255855886103,0
y2020,SSA,4209.050172037899,0
y2020,USA,97884.23403238575,0
y2025,CAZ,9689.51129080117,0
y2025,CHA,19270.2881532287,0
y2025,EUR,19114.84714074874,0
y2025,IND,7137.386941287846,0
y2025,JPN,570.562135780271,0
y2025,LAM,18844.229702465967,0
y2025,MEA,2055.738971861587,0
y2025,NEU,1243.1040456710807,0
y2025,OAS,5092.989502365557,0
y2025,REF,0.0,0
y2025,SSA,0.33239131280157247,0
y2025,USA,43088.56067780762,0
y2030,CAZ,0.0,0
y2030,CHA,0.0,0
y2030,EUR,0.0,0
y2030,IND,0.0,0
y2030,JPN,0.0,0
y2030,LAM,0.0,0
y2030,MEA,0.0,0
y2030,NEU,0.0,0
y2030,OAS,0.0,0
y2030,REF,0.0,0
y2030,SSA,0.0,0
y2030,USA,0.0,0
y2035,CAZ,0.0,0
y2035,CHA,0.0,0
y2035,EUR,0.0,0
y2035,IND,0.0,0
y2035,JPN,0.0,0
y2035,LAM,0.0,0
y2035,MEA,0.0,0
y2035,NEU,0.0,0
y2035,OAS,0.0,0
y2035,REF,0.0,0
y2035,SSA,0.0,0
y2035,USA,0.0,0
y2040,CAZ,0.0,0
y2040,CHA,0.0,0
y2040,EUR,0.0,0
y2040,IND,0.0,0
y2040,JPN,0.0,0
y2040,LAM,0.0,0
y2040,MEA,0.0,0
y2040,NEU,0.0,0
y2040,OAS,0.0,0
y2040,REF,0.0,0
y2040,SSA,0.0,0
y2040,USA,0.0,0
y2045,CAZ,0,0
y2045,CHA,0,0
y2045,EUR,0,0
y2045,IND,0,0
y2045,JPN,0,0
y2045,LAM,0,0
y2045,MEA,0,0
y2045,NEU,0,0
y2045,OAS,0,0
y2045,REF,0,0
y2045,SSA,0,0
y2045,USA,0,0
y2050,CAZ,0,0
y2050,CHA,0,0
y2050,EUR,0,0
y2050,IND,0,0
y2050,JPN,0,0
y2050,LAM,0,0
y2050,MEA,0,0
y2050,NEU,0,0
y2050,OAS,0,0
y2050,REF,0,0
y2050,SSA,0,0
y2050,USA,0,0
y2055,CAZ,0,0
y2055,CHA,0,0
y2055,EUR,0,0
y2055,IND,0,0
y2055,JPN,0,0
y2055,LAM,0,0
y2055,MEA,0,0
y2055,NEU,0,0
y2055,OAS,0,0
y2055,REF,0,0
y2055,SSA,0,0
y2055,USA,0,0
y2060,CAZ,0,0
y2060,CHA,0,0
y2060,EUR,0,0
y2060,IND,0,0
y2060,JPN,0,0
y2060,LAM,0,0
y2060,MEA,0,0
y2060,NEU,0,0
y2060,OAS,0,0
y2060,REF,0,0
y2060,SSA,0,0
y2060,USA,0,0
y2065,CAZ,0,0
y2065,CHA,0,0
y2065,EUR,0,0
y2065,IND,0,0
y2065,JPN,0,0
y2065,LAM,0,0
y2065,MEA,0,0
y2065,NEU,0,0
y2065,OAS,0,0
y2065,REF,0,0
y2065,SSA,0,0
y2065,USA,0,0
y2070,CAZ,0,0
y2070,CHA,0,0
y2070,EUR,0,0
y2070,IND,0,0
y2070,JPN,0,0
y2070,LAM,0,0
y2070,MEA,0,0
y2070,NEU,0,0
y2070,OAS,0,0
y2070,REF,0,0
y2070,SSA,0,0
y2070,USA,0,0
y2075,CAZ,0,0
y2075,CHA,0,0
y2075,EUR,0,0
y2075,IND,0,0
y2075,JPN,0,0
y2075,LAM,0,0
y2075,MEA,0,0
y2075,NEU,0,0
y2075,OAS,0,0
y2075,REF,0,0
y2075,SSA,0,0
y2075,USA,0,0
y2080,CAZ,0,0
y2080,CHA,0,0
y2080,EUR,0,0
y2080,IND,0,0
y2080,JPN,0,0
y2080,LAM,0,0
y2080,MEA,0,0
y2080,NEU,0,0
y2080,OAS,0,0
y2080,REF,0,0
y2080,SSA,0,0
y2080,USA,0,0
y2085,CAZ,0,0
y2085,CHA,0,0
y2085,EUR,0,0
y2085,IND,0,0
y2085,JPN,0,0
y2085,LAM,0,0
y2085,MEA,0,0
y2085,NEU,0,0
y2085,OAS,0,0
y2085,REF,0,0
y2085,SSA,0,0
y2085,USA,0,0
y2090,CAZ,0,0
y2090,CHA,0,0
y2090,EUR,0,0
y2090,IND,0,0
y2090,JPN,0,0
y2090,LAM,0,0
y2090,MEA,0,0
y2090,NEU,0,0
y2090,OAS,0,0
y2090,REF,0,0
y2090,SSA,0,0
y2090,USA,0,0
y2095,CAZ,0,0
y2095,CHA,0,0
y2095,EUR,0,0
y2095,IND,0,0
y2095,JPN,0,0
y2095,LAM,0,0
y2095,MEA,0,0
y2095,NEU,0,0
y2095,OAS,0,0
y2095,REF,0,0
y2095,SSA,0,0
y2095,USA,0,0
y2100,CAZ,0,0
y2100,CHA,0,0
y2100,EUR,0,0
y2100,IND,0,0
y2100,JPN,0,0
y2100,LAM,0,0
y2100,MEA,0,0
y2100,NEU,0,0
y2100,OAS,0,0
y2100,REF,0,0
y2100,SSA,0,0
y2100,USA,0,0
y2105,CAZ,0,0
y2105,CHA,0,0
y2105,EUR,0,0
y2105,IND,0,0
y2105,JPN,0,0
y2105,LAM,0,0
y2105,MEA,0,0
y2105,NEU,0,0
y2105,OAS,0,0
y2105,REF,0,0
y2105,SSA,0,0
y2105,USA,0,0
y2110,CAZ,0,0
y2110,CHA,0,0
y2110,EUR,0,0
y2110,IND,0,0
y2110,JPN,0,0
y2110,LAM,0,0
y2110,MEA,0,0
y2110,NEU,0,0
y2110,OAS,0,0
y2110,REF,0,0
y2110,SSA,0,0
y2110,USA,0,0
y2115,CAZ,0,0
y2115,CHA,0,0
y2115,EUR,0,0
y2115,IND,0,0
y2115,JPN,0,0
y2115,LAM,0,0
y2115,MEA,0,0
y2115,NEU,0,0
y2115,OAS,0,0
y2115,REF,0,0
y2115,SSA,0,0
y2115,USA,0,0
y2120,CAZ,0,0
y2120,CHA,0,0
y2120,EUR,0,0
y2120,IND,0,0
y2120,JPN,0,0
y2120,LAM,0,0
y2120,MEA,0,0
y2120,NEU,0,0
y2120,OAS,0,0
y2120,REF,0,0
y2120,SSA,0,0
y2120,USA,0,0
y2125,CAZ,0,0
y2125,CHA,0,0
y2125,EUR,0,0
y2125,IND,0,0
y2125,JPN,0,0
y2125,LAM,0,0
y2125,MEA,0,0
y2125,NEU,0,0
y2125,OAS,0,0
y2125,REF,0,0
y2125,SSA,0,0
y2125,USA,0,0
y2130,CAZ,0,0
y2130,CHA,0,0
y2130,EUR,0,0
y2130,IND,0,0
y2130,JPN,0,0
y2130,LAM,0,0
y2130,MEA,0,0
y2130,NEU,0,0
y2130,OAS,0,0
y2130,REF,0,0
y2130,SSA,0,0
y2130,USA,0,0
y2135,CAZ,0,0
y2135,CHA,0,0
y2135,EUR,0,0
y2135,IND,0,0
y2135,JPN,0,0
y2135,LAM,0,0
y2135,MEA,0,0
y2135,NEU,0,0
y2135,OAS,0,0
y2135,REF,0,0
y2135,SSA,0,0
y2135,USA,0,0
y2140,CAZ,0,0
y2140,CHA,0,0
y2140,EUR,0,0
y2140,IND,0,0
y2140,JPN,0,0
y2140,LAM,0,0
y2140,MEA,0,0
y2140,NEU,0,0
y2140,OAS,0,0
y2140,REF,0,0
y2140,SSA,0,0
y2140,USA,0,0
y2145,CAZ,0,0
y2145,CHA,0,0
y2145,EUR,0,0
y2145,IND,0,0
y2145,JPN,0,0
y2145,LAM,0,0
y2145,MEA,0,0
y2145,NEU,0,0
y2145,OAS,0,0
y2145,REF,0,0
y2145,SSA,0,0
y2145,USA,0,0
y2150,CAZ,0,0
y2150,CHA,0,0
y2150,EUR,0,0
y2150,IND,0,0
y2150,JPN,0,0
y2150,LAM,0,0
y2150,MEA,0,0
y2150,NEU,0,0
y2150,OAS,0,0
y2150,REF,0,0
y2150,SSA,0,0
y2150,USA,0,0
