dummy,dummy,crop,pastr
y1995,CAZ,189481.3914994577,0
y1995,CHA,379338.7947629774,0
y1995,EUR,668646.4752169444,0
y1995,IND,252754.29280997408,0
y1995,JPN,17823.760644428083,0
y1995,LAM,304359.8989945045,0
y1995,MEA,50471.171294644475,0
y1995,NEU,53845.82384549103,0
y1995,OAS,179932.75378696786,0
y1995,REF,341675.39772932185,0
y1995,SSA,138674.09318090856,0
y1995,USA,623233.5176208541,0
y2000,CAZ,199000.01941172619,0
y2000,CHA,411208.6141083606,0
y2000,EUR,747726.04321601,0
y2000,IND,303119.59409493714,0
y2000,JPN,19912.130198602375,0
y2000,LAM,454485.9798254665,0
y2000,MEA,62581.7430026973,0
y2000,NEU,59769.05912906539,0
y2000,OAS,195940.77604923962,0
y2000,REF,406956.1374421895,0
y2000,SSA,169884.54622120113,0
y2000,USA,647444.2180285216,0
y2005,CAZ,208787.547277852,0
y2005,CHA,427712.7100611968,0
y2005,EUR,713182.5305925318,0
y2005,IND,358899.72846667917,0
y2005,JPN,18162.38721573631,0
y2005,LAM,512444.0916144254,0
y2005,MEA,86227.76742076511,0
y2005,NEU,58254.13661429236,0
y2005,OAS,236419.16996080356,0
y2005,REF,556116.1012325536,0
y2005,SSA,198739.99675313407,0
y2005,USA,736417.2640456272,0
y2010,CAZ,218842.42813091323,0
y2010,CHA,461858.5483673849,0
y2010,EUR,747679.6952806464,0
y2010,IND,438820.5832683409,0
y2010,JPN,18850.972029171426,0
y2010,LAM,663744.2104395976,0
y2010,MEA,105453.88964683838,0
y2010,NEU,61306.51366147529,0
y2010,OAS,268082.6859987105,0
y2010,REF,657039.6351894202,0
y2010,SSA,236913.65948863685,0
y2010,USA,763064.6935344844,0
y2015,CAZ,186796.4145185241,0
y2015,CHA,394547.25804820075,0
y2015,EUR,655570.6022437752,0
y2015,IND,414641.9819160098,0
y2015,JPN,15103.888075218387,0
y2015,LAM,609203.7721666298,0
y2015,MEA,101759.30830807783,0
y2015,NEU,54106.04882860651,0
y2015,OAS,250825.60573166626,0
y2015,REF,620042.8853651857,0
y2015,SSA,219205.46582620428,0
y2015,USA,664992.728472121,0
y2020,CAZ,143098.99451358302,0
y2020,CHA,299353.2157909098,0
y2020,EUR,529579.3525975507,0
y2020,IND,339176.0035622163,0
y2020,JPN,11032.9758181639,0
y2020,LAM,518554.65633043647,0
y2020,MEA,82298.92604647604,0
y2020,NEU,43530.08996105016,0
y2020,OAS,195663.99703110615,0
y2020,REF,455144.6962362276,0
y2020,SSA,168522.09098032882,0
y2020,USA,510051.7944730308,0
y2025,CAZ,90013.36210057468,0
y2025,CHA,189517.56311420744,0
y2025,EUR,327534.15398933424,0
y2025,IND,213545.48737926266,0
y2025,JPN,6898.326037714269,0
y2025,LAM,337105.10863151826,0
y2025,MEA,51326.64059754269,0
y2025,NEU,26928.625304010355,0
y2025,OAS,120250.72510218775,0
y2025,REF,264766.0547317117,0
y2025,SSA,101976.65628470524,0
y2025,USA,315228.6317932125,0
y2030,CAZ,44595.94304874665,0
y2030,CHA,95584.13073871576,0
y2030,EUR,174657.1079544382,0
y2030,IND,112874.16369283678,0
y2030,JPN,3597.4366886151365,0
y2030,LAM,180083.12429459367,0
y2030,MEA,26436.74226593932,0
y2030,NEU,14266.103714913635,0
y2030,OAS,61736.88577341369,0
y2030,REF,138328.9989130473,0
y2030,SSA,54677.16901037503,0
y2030,USA,152388.91003692942,0
y2035,CAZ,19530.921877274614,0
y2035,CHA,39820.937077337294,0
y2035,EUR,77698.62883427339,0
y2035,IND,49987.44144636871,0
y2035,JPN,1291.4486668182853,0
y2035,LAM,76214.57774966555,0
y2035,MEA,12048.606097342341,0
y2035,NEU,6384.488038647912,0
y2035,OAS,27831.30372790525,0
y2035,REF,54687.208178037596,0
y2035,SSA,22046.599754315754,0
y2035,USA,71078.76108799991,0
y2040,CAZ,7537.655529961358,0
y2040,CHA,15959.24111289004,0
y2040,EUR,32451.50644176821,0
y2040,IND,18164.404406951828,0
y2040,JPN,665.7200929893252,0
y2040,LAM,35576.17673242998,0
y2040,MEA,3825.512990718435,0
y2040,NEU,2583.1016995553055,0
y2040,OAS,8330.874874701558,0
y2040,REF,10666.84912869897,0
y2040,SSA,7107.892576116332,0
y2040,USA,22871.30391538641,0
y2045,CAZ,0,0
y2045,CHA,0,0
y2045,EUR,0,0
y2045,IND,0,0
y2045,JPN,0,0
y2045,LAM,0,0
y2045,MEA,0,0
y2045,NEU,0,0
y2045,OAS,0,0
y2045,REF,0,0
y2045,SSA,0,0
y2045,USA,0,0
y2050,CAZ,0,0
y2050,CHA,0,0
y2050,EUR,0,0
y2050,IND,0,0
y2050,JPN,0,0
y2050,LAM,0,0
y2050,MEA,0,0
y2050,NEU,0,0
y2050,OAS,0,0
y2050,REF,0,0
y2050,SSA,0,0
y2050,USA,0,0
y2055,CAZ,0,0
y2055,CHA,0,0
y2055,EUR,0,0
y2055,IND,0,0
y2055,JPN,0,0
y2055,LAM,0,0
y2055,MEA,0,0
y2055,NEU,0,0
y2055,OAS,0,0
y2055,REF,0,0
y2055,SSA,0,0
y2055,USA,0,0
y2060,CAZ,0,0
y2060,CHA,0,0
y2060,EUR,0,0
y2060,IND,0,0
y2060,JPN,0,0
y2060,LAM,0,0
y2060,MEA,0,0
y2060,NEU,0,0
y2060,OAS,0,0
y2060,REF,0,0
y2060,SSA,0,0
y2060,USA,0,0
y2065,CAZ,0,0
y2065,CHA,0,0
y2065,EUR,0,0
y2065,IND,0,0
y2065,JPN,0,0
y2065,LAM,0,0
y2065,MEA,0,0
y2065,NEU,0,0
y2065,OAS,0,0
y2065,REF,0,0
y2065,SSA,0,0
y2065,USA,0,0
y2070,CAZ,0,0
y2070,CHA,0,0
y2070,EUR,0,0
y2070,IND,0,0
y2070,JPN,0,0
y2070,LAM,0,0
y2070,MEA,0,0
y2070,NEU,0,0
y2070,OAS,0,0
y2070,REF,0,0
y2070,SSA,0,0
y2070,USA,0,0
y2075,CAZ,0,0
y2075,CHA,0,0
y2075,EUR,0,0
y2075,IND,0,0
y2075,JPN,0,0
y2075,LAM,0,0
y2075,MEA,0,0
y2075,NEU,0,0
y2075,OAS,0,0
y2075,REF,0,0
y2075,SSA,0,0
y2075,USA,0,0
y2080,CAZ,0,0
y2080,CHA,0,0
y2080,EUR,0,0
y2080,IND,0,0
y2080,JPN,0,0
y2080,LAM,0,0
y2080,MEA,0,0
y2080,NEU,0,0
y2080,OAS,0,0
y2080,REF,0,0
y2080,SSA,0,0
y2080,USA,0,0
y2085,CAZ,0,0
y2085,CHA,0,0
y2085,EUR,0,0
y2085,IND,0,0
y2085,JPN,0,0
y2085,LAM,0,0
y2085,MEA,0,0
y2085,NEU,0,0
y2085,OAS,0,0
y2085,REF,0,0
y2085,SSA,0,0
y2085,USA,0,0
y2090,CAZ,0,0
y2090,CHA,0,0
y2090,EUR,0,0
y2090,IND,0,0
y2090,JPN,0,0
y2090,LAM,0,0
y2090,MEA,0,0
y2090,NEU,0,0
y2090,OAS,0,0
y2090,REF,0,0
y2090,SSA,0,0
y2090,USA,0,0
y2095,CAZ,0,0
y2095,CHA,0,0
y2095,EUR,0,0
y2095,IND,0,0
y2095,JPN,0,0
y2095,LAM,0,0
y2095,MEA,0,0
y2095,NEU,0,0
y2095,OAS,0,0
y2095,REF,0,0
y2095,SSA,0,0
y2095,USA,0,0
y2100,CAZ,0,0
y2100,CHA,0,0
y2100,EUR,0,0
y2100,IND,0,0
y2100,JPN,0,0
y2100,LAM,0,0
y2100,MEA,0,0
y2100,NEU,0,0
y2100,OAS,0,0
y2100,REF,0,0
y2100,SSA,0,0
y2100,USA,0,0
y2105,CAZ,0,0
y2105,CHA,0,0
y2105,EUR,0,0
y2105,IND,0,0
y2105,JPN,0,0
y2105,LAM,0,0
y2105,MEA,0,0
y2105,NEU,0,0
y2105,OAS,0,0
y2105,REF,0,0
y2105,SSA,0,0
y2105,USA,0,0
y2110,CAZ,0,0
y2110,CHA,0,0
y2110,EUR,0,0
y2110,IND,0,0
y2110,JPN,0,0
y2110,LAM,0,0
y2110,MEA,0,0
y2110,NEU,0,0
y2110,OAS,0,0
y2110,REF,0,0
y2110,SSA,0,0
y2110,USA,0,0
y2115,CAZ,0,0
y2115,CHA,0,0
y2115,EUR,0,0
y2115,IND,0,0
y2115,JPN,0,0
y2115,LAM,0,0
y2115,MEA,0,0
y2115,NEU,0,0
y2115,OAS,0,0
y2115,REF,0,0
y2115,SSA,0,0
y2115,USA,0,0
y2120,CAZ,0,0
y2120,CHA,0,0
y2120,EUR,0,0
y2120,IND,0,0
y2120,JPN,0,0
y2120,LAM,0,0
y2120,MEA,0,0
y2120,NEU,0,0
y2120,OAS,0,0
y2120,REF,0,0
y2120,SSA,0,0
y2120,USA,0,0
y2125,CAZ,0,0
y2125,CHA,0,0
y2125,EUR,0,0
y2125,IND,0,0
y2125,JPN,0,0
y2125,LAM,0,0
y2125,MEA,0,0
y2125,NEU,0,0
y2125,OAS,0,0
y2125,REF,0,0
y2125,SSA,0,0
y2125,USA,0,0
y2130,CAZ,0,0
y2130,CHA,0,0
y2130,EUR,0,0
y2130,IND,0,0
y2130,JPN,0,0
y2130,LAM,0,0
y2130,MEA,0,0
y2130,NEU,0,0
y2130,OAS,0,0
y2130,REF,0,0
y2130,SSA,0,0
y2130,USA,0,0
y2135,CAZ,0,0
y2135,CHA,0,0
y2135,EUR,0,0
y2135,IND,0,0
y2135,JPN,0,0
y2135,LAM,0,0
y2135,MEA,0,0
y2135,NEU,0,0
y2135,OAS,0,0
y2135,REF,0,0
y2135,SSA,0,0
y2135,USA,0,0
y2140,CAZ,0,0
y2140,CHA,0,0
y2140,EUR,0,0
y2140,IND,0,0
y2140,JPN,0,0
y2140,LAM,0,0
y2140,MEA,0,0
y2140,NEU,0,0
y2140,OAS,0,0
y2140,REF,0,0
y2140,SSA,0,0
y2140,USA,0,0
y2145,CAZ,0,0
y2145,CHA,0,0
y2145,EUR,0,0
y2145,IND,0,0
y2145,JPN,0,0
y2145,LAM,0,0
y2145,MEA,0,0
y2145,NEU,0,0
y2145,OAS,0,0
y2145,REF,0,0
y2145,SSA,0,0
y2145,USA,0,0
y2150,CAZ,0,0
y2150,CHA,0,0
y2150,EUR,0,0
y2150,IND,0,0
y2150,JPN,0,0
y2150,LAM,0,0
y2150,MEA,0,0
y2150,NEU,0,0
y2150,OAS,0,0
y2150,REF,0,0
y2150,SSA,0,0
y2150,USA,0,0
