dummy,dummy,crop,pastr
y1995,CAZ,24559.7746601999,0
y2000,CAZ,26169.5712289838,0
y2005,CAZ,20837.6084966814,0
y2010,CAZ,12958.0538585067,0
y2015,CAZ,6683.648296268,0
y2020,CAZ,2936.07147577798,0
y2025,CAZ,1044.47301701485,0
y2030,CAZ,0,0
y2035,CAZ,0,0
y2040,CAZ,0,0
y2045,CAZ,0,0
y1995,CHA,9729.2890474585,0
y2000,CHA,10922.0618514321,0
y2005,CHA,8948.52529476772,0
y2010,CHA,5649.34952246223,0
y2015,CHA,2945.26743145654,0
y2020,CHA,1307.81783901455,0
y2025,CHA,472.149946255767,0
y2030,CHA,0,0
y2035,CHA,0,0
y2040,CHA,0,0
y2045,CHA,0,0
y1995,EUR,61344.5299284212,0
y2000,EUR,68056.3821322384,0
y2005,EUR,55410.8551908613,0
y2010,EUR,34868.0250192412,0
y2015,EUR,18136.7652138087,0
y2020,EUR,8035.13735280179,0
y2025,EUR,2891.90173816957,0
y2030,EUR,0,0
y2035,EUR,0,0
y2040,EUR,0,0
y2045,EUR,0,0
y1995,IND,3814.82366038626,0
y2000,IND,4289.03916466448,0
y2005,IND,3516.85426118676,0
y2010,IND,2221.16613915471,0
y2015,IND,1158.3323754486,0
y2020,IND,514.494401698301,0
y2025,IND,185.815701308723,0
y2030,IND,0,0
y2035,IND,0,0
y2040,IND,0,0
y2045,IND,0,0
y1995,JPN,25036.6475554192,0
y2000,JPN,27654.9937731641,0
y2005,JPN,22463.7225480043,0
y2010,JPN,14118.2740975515,0
y2015,JPN,7337.3366812473,0
y2020,JPN,3247.85699534646,0
y2025,JPN,1167.55193727941,0
y2030,JPN,0,0
y2035,JPN,0,0
y2040,JPN,0,0
y2045,JPN,0,0
y1995,LAM,25619.2895891016,0
y2000,LAM,28211.9143445427,0
y2005,LAM,22878.1795081991,0
y2010,LAM,14366.263389976,0
y2015,LAM,7461.63372429603,0
y2020,LAM,3300.8492344477,0
y2025,LAM,1185.60776688597,0
y2030,LAM,0,0
y2035,LAM,0,0
y2040,LAM,0,0
y2045,LAM,0,0
y1995,MEA,3237.59903454507,0
y2000,MEA,3564.96996398228,0
y2005,MEA,2890.86027912218,0
y2010,MEA,1815.26557332049,0
y2015,MEA,942.808964677151,0
y2020,MEA,417.069942489825,0
y2025,MEA,149.80118957026,0
y2030,MEA,0,0
y2035,MEA,0,0
y2040,MEA,0,0
y2045,MEA,0,0
y1995,NEU,4000.20371936802,0
y2000,NEU,4446.76679551537,0
y2005,NEU,3624.38891879508,0
y2010,NEU,2281.96876010269,0
y2015,NEU,1187.44329903924,0
y2020,NEU,526.279633107206,0
y2025,NEU,189.51270581244,0
y2030,NEU,0,0
y2035,NEU,0,0
y2040,NEU,0,0
y2045,NEU,0,0
y1995,OAS,15048.3910309763,0
y2000,OAS,16733.1323333084,0
y2005,OAS,13640.626656253,0
y2010,OAS,8589.02704476381,0
y2015,OAS,4469.63040360273,0
y2020,OAS,1981.06930366756,0
y2025,OAS,713.435272656199,0
y2030,OAS,0,0
y2035,OAS,0,0
y2040,OAS,0,0
y2045,OAS,0,0
y1995,REF,2782.398733837,0
y2000,REF,2793.19042241958,0
y2005,REF,2146.24959556248,0
y2010,REF,1308.5034269875,0
y2015,REF,665.212845925204,0
y2020,REF,287.898979452481,0
y2025,REF,100.280896168341,0
y2030,REF,0,0
y2035,REF,0,0
y2040,REF,0,0
y2045,REF,0,0
y1995,SSA,7464.76950378191,0
y2000,SSA,8036.12475231303,0
y2005,SSA,6436.02115250264,0
y2010,SSA,4014.81047659248,0
y2015,SSA,2075.44360746833,0
y2020,SSA,913.793186512096,0
y2025,SSA,326.092772537186,0
y2030,SSA,0,0
y2035,SSA,0,0
y2040,SSA,0,0
y2045,SSA,0,0
y1995,USA,55976.4794024066,0
y2000,USA,60526.2001084495,0
y2005,USA,48593.7041095563,0
y2010,USA,30352.7076762819,0
y2015,USA,15705.4499198926,0
y2020,USA,6921.46565158098,0
y2025,USA,2473.19261019988,0
y2030,USA,0,0
y2035,USA,0,0
y2040,USA,0,0
y2045,USA,0,0
y2050,CAZ,0,0
y2050,CHA,0,0
y2050,EUR,0,0
y2050,IND,0,0
y2050,JPN,0,0
y2050,LAM,0,0
y2050,MEA,0,0
y2050,NEU,0,0
y2050,OAS,0,0
y2050,REF,0,0
y2050,SSA,0,0
y2050,USA,0,0
y2055,CAZ,0,0
y2055,CHA,0,0
y2055,EUR,0,0
y2055,IND,0,0
y2055,JPN,0,0
y2055,LAM,0,0
y2055,MEA,0,0
y2055,NEU,0,0
y2055,OAS,0,0
y2055,REF,0,0
y2055,SSA,0,0
y2055,USA,0,0
y2060,CAZ,0,0
y2060,CHA,0,0
y2060,EUR,0,0
y2060,IND,0,0
y2060,JPN,0,0
y2060,LAM,0,0
y2060,MEA,0,0
y2060,NEU,0,0
y2060,OAS,0,0
y2060,REF,0,0
y2060,SSA,0,0
y2060,USA,0,0
y2070,CAZ,0,0
y2070,CHA,0,0
y2070,EUR,0,0
y2070,IND,0,0
y2070,JPN,0,0
y2070,LAM,0,0
y2070,MEA,0,0
y2070,NEU,0,0
y2070,OAS,0,0
y2070,REF,0,0
y2070,SSA,0,0
y2070,USA,0,0
y2080,CAZ,0,0
y2080,CHA,0,0
y2080,EUR,0,0
y2080,IND,0,0
y2080,JPN,0,0
y2080,LAM,0,0
y2080,MEA,0,0
y2080,NEU,0,0
y2080,OAS,0,0
y2080,REF,0,0
y2080,SSA,0,0
y2080,USA,0,0
y2090,CAZ,0,0
y2090,CHA,0,0
y2090,EUR,0,0
y2090,IND,0,0
y2090,JPN,0,0
y2090,LAM,0,0
y2090,MEA,0,0
y2090,NEU,0,0
y2090,OAS,0,0
y2090,REF,0,0
y2090,SSA,0,0
y2090,USA,0,0
y2100,CAZ,0,0
y2100,CHA,0,0
y2100,EUR,0,0
y2100,IND,0,0
y2100,JPN,0,0
y2100,LAM,0,0
y2100,MEA,0,0
y2100,NEU,0,0
y2100,OAS,0,0
y2100,REF,0,0
y2100,SSA,0,0
y2100,USA,0,0
y2105,CAZ,0,0
y2105,CHA,0,0
y2105,EUR,0,0
y2105,IND,0,0
y2105,JPN,0,0
y2105,LAM,0,0
y2105,MEA,0,0
y2105,NEU,0,0
y2105,OAS,0,0
y2105,REF,0,0
y2105,SSA,0,0
y2105,USA,0,0
y2110,CAZ,0,0
y2110,CHA,0,0
y2110,EUR,0,0
y2110,IND,0,0
y2110,JPN,0,0
y2110,LAM,0,0
y2110,MEA,0,0
y2110,NEU,0,0
y2110,OAS,0,0
y2110,REF,0,0
y2110,SSA,0,0
y2110,USA,0,0
y2115,CAZ,0,0
y2115,CHA,0,0
y2115,EUR,0,0
y2115,IND,0,0
y2115,JPN,0,0
y2115,LAM,0,0
y2115,MEA,0,0
y2115,NEU,0,0
y2115,OAS,0,0
y2115,REF,0,0
y2115,SSA,0,0
y2115,USA,0,0
y2120,CAZ,0,0
y2120,CHA,0,0
y2120,EUR,0,0
y2120,IND,0,0
y2120,JPN,0,0
y2120,LAM,0,0
y2120,MEA,0,0
y2120,NEU,0,0
y2120,OAS,0,0
y2120,REF,0,0
y2120,SSA,0,0
y2120,USA,0,0
y2125,CAZ,0,0
y2125,CHA,0,0
y2125,EUR,0,0
y2125,IND,0,0
y2125,JPN,0,0
y2125,LAM,0,0
y2125,MEA,0,0
y2125,NEU,0,0
y2125,OAS,0,0
y2125,REF,0,0
y2125,SSA,0,0
y2125,USA,0,0
y2130,CAZ,0,0
y2130,CHA,0,0
y2130,EUR,0,0
y2130,IND,0,0
y2130,JPN,0,0
y2130,LAM,0,0
y2130,MEA,0,0
y2130,NEU,0,0
y2130,OAS,0,0
y2130,REF,0,0
y2130,SSA,0,0
y2130,USA,0,0
y2135,CAZ,0,0
y2135,CHA,0,0
y2135,EUR,0,0
y2135,IND,0,0
y2135,JPN,0,0
y2135,LAM,0,0
y2135,MEA,0,0
y2135,NEU,0,0
y2135,OAS,0,0
y2135,REF,0,0
y2135,SSA,0,0
y2135,USA,0,0
y2140,CAZ,0,0
y2140,CHA,0,0
y2140,EUR,0,0
y2140,IND,0,0
y2140,JPN,0,0
y2140,LAM,0,0
y2140,MEA,0,0
y2140,NEU,0,0
y2140,OAS,0,0
y2140,REF,0,0
y2140,SSA,0,0
y2140,USA,0,0
y2145,CAZ,0,0
y2145,CHA,0,0
y2145,EUR,0,0
y2145,IND,0,0
y2145,JPN,0,0
y2145,LAM,0,0
y2145,MEA,0,0
y2145,NEU,0,0
y2145,OAS,0,0
y2145,REF,0,0
y2145,SSA,0,0
y2145,USA,0,0
y2150,CAZ,0,0
y2150,CHA,0,0
y2150,EUR,0,0
y2150,IND,0,0
y2150,JPN,0,0
y2150,LAM,0,0
y2150,MEA,0,0
y2150,NEU,0,0
y2150,OAS,0,0
y2150,REF,0,0
y2150,SSA,0,0
y2150,USA,0,0
