dummy,dummy,crop,pastr
y1995,CAZ,556586.7930492822,0
y1995,CHA,1236533.7955803752,0
y1995,EUR,2595835.869674073,0
y1995,IND,713092.0808349688,0
y1995,JPN,62038.31345741154,0
y1995,LAM,907170.1102002772,0
y1995,MEA,115617.55496541687,0
y1995,NEU,154992.74645213742,0
y1995,OAS,481259.0882643568,0
y1995,REF,944603.871448153,0
y1995,SSA,339706.4714716123,0
y1995,USA,2105636.5954361204,0
y2000,CAZ,548681.0529164008,0
y2000,CHA,1283593.5024004425,0
y2000,EUR,2716356.6714200377,0
y2000,IND,815706.6100092105,0
y2000,JPN,69733.25921812972,0
y2000,LAM,1498341.1790994457,0
y2000,MEA,125512.45150698474,0
y2000,NEU,162263.45130864158,0
y2000,OAS,471712.2189502152,0
y2000,REF,552723.0302769023,0
y2000,SSA,394938.3772070793,0
y2000,USA,2061214.4247508878,0
y2005,CAZ,400850.30362676946,0
y2005,CHA,1006421.551172123,0
y2005,EUR,2077120.408780998,0
y2005,IND,682035.1767857423,0
y2005,JPN,57939.88483390999,0
y2005,LAM,1484656.4964093806,0
y2005,MEA,98836.33505711907,0
y2005,NEU,124100.86566670914,0
y2005,OAS,356345.64451633673,0
y2005,REF,279716.86984245304,0
y2005,SSA,341773.4506362031,0
y2005,USA,1512883.7754589373,0
y2010,CAZ,235413.3041040461,0
y2010,CHA,619507.7030750904,0
y2010,EUR,1278306.8453557903,0
y2010,IND,438230.45379331155,0
y2010,JPN,38202.334966064635,0
y2010,LAM,1045451.8464296425,0
y2010,MEA,60307.84382795927,0
y2010,NEU,76445.36935680683,0
y2010,OAS,212615.8400659569,0
y2010,REF,155957.90965636878,0
y2010,SSA,232368.53091947717,0
y2010,USA,855135.0064830296,0
y2015,CAZ,107378.06520897454,0
y2015,CHA,306488.6271932352,0
y2015,EUR,652512.2002382907,0
y2015,IND,229661.87005858455,0
y2015,JPN,18706.661174334462,0
y2015,LAM,580103.3373848806,0
y2015,MEA,31667.157059615023,0
y2015,NEU,38980.69389937054,0
y2015,OAS,105282.64024767815,0
y2015,REF,18951.643000217482,0
y2015,SSA,122004.6982900477,0
y2015,USA,425322.92323297146,0
y2020,CAZ,55207.53274416693,0
y2020,CHA,140126.6139502659,0
y2020,EUR,266124.13718195027,0
y2020,IND,101133.20061660947,0
y2020,JPN,9376.810943257347,0
y2020,LAM,272064.36885265936,0
y2020,MEA,13747.565231517574,0
y2020,NEU,15968.014436434842,0
y2020,OAS,45192.99665786672,0
y2020,REF,9325.636116306867,0
y2020,SSA,53414.784727010854,0
y2020,USA,188924.8489980211,0
y2025,CAZ,7247.293557100263,0
y2025,CHA,43080.88702265481,0
y2025,EUR,81254.96584568427,0
y2025,IND,39784.64839173153,0
y2025,JPN,3329.955330383495,0
