dummy,dummy,crop,pastr
y1995,CAZ,18632.157544045072,0
y1995,CHA,45800.52345051292,0
y1995,EUR,104116.4969982118,0
y1995,IND,22972.912582755846,0
y1995,JPN,2460.3979875005703,0
y1995,LAM,32318.263998868446,0
y1995,MEA,3154.165277949553,0
y1995,NEU,4892.094920581798,0
y1995,OAS,14964.447192892476,0
y1995,REF,32282.21123397893,0
y1995,SSA,9759.069136238997,0
y1995,USA,79974.06731972491,0
y2000,CAZ,18648.25629573989,0
y2000,CHA,50254.843333431265,0
y2000,EUR,122907.98570435203,0
y2000,IND,26927.840573188805,0
y2000,JPN,2750.5024911286546,0
y2000,LAM,44184.661500137416,0
y2000,MEA,3455.244880258158,0
y2000,NEU,5679.082904209472,0
y2000,OAS,14487.133575158881,0
y2000,REF,25156.63399033167,0
y2000,SSA,11082.860827349197,0
y2000,USA,76267.93842610797,0
y2005,CAZ,13785.727205623565,0
y2005,CHA,40318.823382958646,0
y2005,EUR,104068.98102806997,0
y2005,IND,22669.644711522462,0
y2005,JPN,2272.099156932456,0
y2005,LAM,39293.07979763865,0
y2005,MEA,2688.557989924467,0
y2005,NEU,4738.184596648216,0
y2005,OAS,10670.25230581213,0
y2005,REF,18282.754631103173,0
y2005,SSA,9467.47562963104,0
y2005,USA,53384.67242813661,0
y2010,CAZ,8124.186214268908,0
y2010,CHA,25119.15131673953,0
y2010,EUR,67915.75390750308,0
y2010,IND,14623.256769133284,0
y2010,JPN,1488.8651646221056,0
y2010,LAM,26150.983616089063,0
y2010,MEA,1637.6211890595205,0
y2010,NEU,3067.094716639741,0
y2010,OAS,6290.908849783807,0
y2010,REF,11376.507967965037,0
y2010,SSA,6382.586658249566,0
y2010,USA,28831.576082078675,0
y2015,CAZ,3742.5770794662308,0
y2015,CHA,12108.021834879106,0
y2015,EUR,36898.65650544797,0
y2015,IND,7678.74429849158,0
y2015,JPN,737.9734478638545,0
y2015,LAM,14040.278159848982,0
y2015,MEA,844.6031091265766,0
y2015,NEU,1646.9742180706346,0
y2015,OAS,3039.131492235114,0
y2015,REF,4620.369888083442,0
y2015,SSA,3332.426189629696,0
y2015,USA,13859.725098688428,0
y2020,CAZ,1923.114057927158,0
y2020,CHA,6124.750481112309,0
y2020,EUR,14939.127116382911,0
y2020,IND,3414.4764359365136,0
y2020,JPN,359.24411788209375,0
y2020,LAM,6576.787878279081,0
y2020,MEA,377.80811073193723,0
y2020,NEU,674.4799793098894,0
y2020,OAS,1318.2546222325068,0
y2020,REF,2266.3301491175725,0
y2020,SSA,1443.8069425406143,0
y2020,USA,6306.116680131145,0
y2025,CAZ,262.0401394238909,0
y2025,CHA,1613.4004593999487,0
y2025,EUR,6613.254454183502,0
y2025,IND,1319.2365443120225,0
y2025,JPN,128.28519575974744,0
y2025,LAM,2468.0102511995647,0
y2025,MEA,97.91383139128173,0
y2025,NEU,281.97325070833966,0
y2025,OAS,307.2931493602258,0
y2025,REF,1183.0312278373312,0
y2025,SSA,714.1950943176912,0
y2025,USA,114.65364665749281,0
y2030,CAZ,0.0,0
y2030,CHA,0.0,0
y2030,EUR,0.0,0
y2030,IND,0.0,0
y2030,JPN,0.0,0
y2030,LAM,0.0,0
y2030,MEA,0.0,0
y2030,NEU,0.0,0
y2030,OAS,0.0,0
y2030,REF,0.0,0
y2030,SSA,0.0,0
y2030,USA,0.0,0
y2035,CAZ,0.0,0
y2035,CHA,0.0,0
y2035,EUR,0.0,0
y2035,IND,0.0,0
y2035,JPN,0.0,0
y2035,LAM,0.0,0
y2035,MEA,0.0,0
y2035,NEU,0.0,0
y2035,OAS,0.0,0
y2035,REF,0.0,0
y2035,SSA,0.0,0
y2035,USA,0.0,0
y2040,CAZ,0.0,0
y2040,CHA,0.0,0
y2040,EUR,0.0,0
y2040,IND,0.0,0
y2040,JPN,0.0,0
y2040,LAM,0.0,0
y2040,MEA,0.0,0
y2040,NEU,0.0,0
